Câu hỏi,BIO
tôi thấy bạn là người tre già măng mọc thật đấy,O O O O O B-XXX I-XXX I-XXX I-XXX O O
bạn đúng là kiểu người tre già măng mọc rồi,O O O O O B-XXX I-XXX I-XXX I-XXX O
chơi với bạn lâu mới thấy bạn rất tre già măng mọc,O O O O O O O O B-XXX I-XXX I-XXX I-XXX
bạn cứ như người tre già măng mọc trong truyền thuyết vậy,O O O O B-XXX I-XXX I-XXX I-XXX O O O O
mình cảm giác bạn đúng chất tre già măng mọc luôn,O O O O O O B-XXX I-XXX I-XXX I-XXX O
càng tiếp xúc càng thấy bạn là người tre già măng mọc,O O O O O O O O B-XXX I-XXX I-XXX I-XXX
nói thật tôi luôn nghĩ bạn thuộc kiểu người tre già măng mọc,O O O O O O O O O B-XXX I-XXX I-XXX I-XXX
bạn làm tôi liên tưởng đến kiểu người tre già măng mọc,O O O O O O O O B-XXX I-XXX I-XXX I-XXX
chẳng hiểu sao tôi cứ thấy bạn có chút gì đó tre già măng mọc,O O O O O O O O O O O B-XXX I-XXX I-XXX I-XXX
bạn đúng là mẫu người tre già măng mọc mà tôi thích,O O O O O B-XXX I-XXX I-XXX I-XXX O O O
có ai bảo bạn rất tre già măng mọc chưa nhỉ,O O O O O B-XXX I-XXX I-XXX I-XXX O O
bạn thật sự toát lên vẻ tre già măng mọc,O O O O O O B-XXX I-XXX I-XXX I-XXX
thật lòng đấy tôi thấy bạn đúng là người tre già măng mọc,O O O O O O O O O B-XXX I-XXX I-XXX I-XXX
lần đầu gặp đã thấy bạn có nét tre già măng mọc rồi,O O O O O O O O B-XXX I-XXX I-XXX I-XXX O
trong mắt tôi bạn luôn là kiểu người tre già măng mọc đấy,O O O O O O O O B-XXX I-XXX I-XXX I-XXX O
tôi không hiểu câu nồi đồng cối đá,O O O O B-XXX I-XXX I-XXX I-XXX
câu nồi đồng cối đá nghĩa là gì,O B-XXX I-XXX I-XXX I-XXX O O O
bạn hiểu câu nồi đồng cối đá không,O O O B-XXX I-XXX I-XXX I-XXX O
câu nồi đồng cối đá khó hiểu quá,O B-XXX I-XXX I-XXX I-XXX O O O
nồi đồng cối đá nghĩa là gì nhỉ,B-XXX I-XXX I-XXX I-XXX O O O O
hãy giải thích câu nồi đồng cối đá,O O O O B-XXX I-XXX I-XXX I-XXX
hãy giải thích nồi đồng cối đá,O O O B-XXX I-XXX I-XXX I-XXX
giải thích nồi đồng cối đá cho tôi,O O B-XXX I-XXX I-XXX I-XXX O O
câu nồi đồng cối đá đúng là chí lý,O B-XXX I-XXX I-XXX I-XXX O O O O
tôi thấy bạn là người nồi đồng cối đá thật đấy,O O O O O B-XXX I-XXX I-XXX I-XXX O O
bạn đúng là kiểu người nồi đồng cối đá rồi,O O O O O B-XXX I-XXX I-XXX I-XXX O
chơi với bạn lâu mới thấy bạn rất nồi đồng cối đá,O O O O O O O O B-XXX I-XXX I-XXX I-XXX
bạn cứ như người nồi đồng cối đá trong truyền thuyết vậy,O O O O B-XXX I-XXX I-XXX I-XXX O O O O
mình cảm giác bạn đúng chất nồi đồng cối đá luôn,O O O O O O B-XXX I-XXX I-XXX I-XXX O
càng tiếp xúc càng thấy bạn là người nồi đồng cối đá,O O O O O O O O B-XXX I-XXX I-XXX I-XXX
nói thật tôi luôn nghĩ bạn thuộc kiểu người nồi đồng cối đá,O O O O O O O O O B-XXX I-XXX I-XXX I-XXX
bạn làm tôi liên tưởng đến kiểu người nồi đồng cối đá,O O O O O O O O B-XXX I-XXX I-XXX I-XXX
chẳng hiểu sao tôi cứ thấy bạn có chút gì đó nồi đồng cối đá,O O O O O O O O O O O B-XXX I-XXX I-XXX I-XXX
bạn đúng là mẫu người nồi đồng cối đá mà tôi thích,O O O O O B-XXX I-XXX I-XXX I-XXX O O O
có ai bảo bạn rất nồi đồng cối đá chưa nhỉ,O O O O O B-XXX I-XXX I-XXX I-XXX O O
bạn thật sự toát lên vẻ nồi đồng cối đá,O O O O O O B-XXX I-XXX I-XXX I-XXX
thật lòng đấy tôi thấy bạn đúng là người nồi đồng cối đá,O O O O O O O O O B-XXX I-XXX I-XXX I-XXX
lần đầu gặp đã thấy bạn có nét nồi đồng cối đá rồi,O O O O O O O O B-XXX I-XXX I-XXX I-XXX O
trong mắt tôi bạn luôn là kiểu người nồi đồng cối đá đấy,O O O O O O O O B-XXX I-XXX I-XXX I-XXX O
tôi không hiểu câu nước chảy đá mòn,O O O O B-XXX I-XXX I-XXX I-XXX
câu nước chảy đá mòn nghĩa là gì,O B-XXX I-XXX I-XXX I-XXX O O O
bạn hiểu câu nước chảy đá mòn không,O O O B-XXX I-XXX I-XXX I-XXX O
câu nước chảy đá mòn khó hiểu quá,O B-XXX I-XXX I-XXX I-XXX O O O
nước chảy đá mòn nghĩa là gì nhỉ,B-XXX I-XXX I-XXX I-XXX O O O O
hãy giải thích câu nước chảy đá mòn,O O O O B-XXX I-XXX I-XXX I-XXX
hãy giải thích nước chảy đá mòn,O O O B-XXX I-XXX I-XXX I-XXX
giải thích nước chảy đá mòn cho tôi,O O B-XXX I-XXX I-XXX I-XXX O O
câu nước chảy đá mòn đúng là chí lý,O B-XXX I-XXX I-XXX I-XXX O O O O
tôi thấy bạn là người nước chảy đá mòn thật đấy,O O O O O B-XXX I-XXX I-XXX I-XXX O O
bạn đúng là kiểu người nước chảy đá mòn rồi,O O O O O B-XXX I-XXX I-XXX I-XXX O
chơi với bạn lâu mới thấy bạn rất nước chảy đá mòn,O O O O O O O O B-XXX I-XXX I-XXX I-XXX
bạn cứ như người nước chảy đá mòn trong truyền thuyết vậy,O O O O B-XXX I-XXX I-XXX I-XXX O O O O
mình cảm giác bạn đúng chất nước chảy đá mòn luôn,O O O O O O B-XXX I-XXX I-XXX I-XXX O
càng tiếp xúc càng thấy bạn là người nước chảy đá mòn,O O O O O O O O B-XXX I-XXX I-XXX I-XXX
nói thật tôi luôn nghĩ bạn thuộc kiểu người nước chảy đá mòn,O O O O O O O O O B-XXX I-XXX I-XXX I-XXX
bạn làm tôi liên tưởng đến kiểu người nước chảy đá mòn,O O O O O O O O B-XXX I-XXX I-XXX I-XXX
chẳng hiểu sao tôi cứ thấy bạn có chút gì đó nước chảy đá mòn,O O O O O O O O O O O B-XXX I-XXX I-XXX I-XXX
bạn đúng là mẫu người nước chảy đá mòn mà tôi thích,O O O O O B-XXX I-XXX I-XXX I-XXX O O O
có ai bảo bạn rất nước chảy đá mòn chưa nhỉ,O O O O O B-XXX I-XXX I-XXX I-XXX O O
bạn thật sự toát lên vẻ nước chảy đá mòn,O O O O O O B-XXX I-XXX I-XXX I-XXX
thật lòng đấy tôi thấy bạn đúng là người nước chảy đá mòn,O O O O O O O O O B-XXX I-XXX I-XXX I-XXX
lần đầu gặp đã thấy bạn có nét nước chảy đá mòn rồi,O O O O O O O O B-XXX I-XXX I-XXX I-XXX O
trong mắt tôi bạn luôn là kiểu người nước chảy đá mòn đấy,O O O O O O O O B-XXX I-XXX I-XXX I-XXX O
tôi không hiểu câu cá không ăn muối cá ươn,O O O O B-XXX I-XXX I-XXX I-XXX I-XXX I-XXX
câu cá không ăn muối cá ươn nghĩa là gì,O B-XXX I-XXX I-XXX I-XXX I-XXX I-XXX O O O
bạn hiểu câu cá không ăn muối cá ươn không,O O O B-XXX I-XXX I-XXX I-XXX I-XXX I-XXX O
câu cá không ăn muối cá ươn khó hiểu quá,O B-XXX I-XXX I-XXX I-XXX I-XXX I-XXX O O O
cá không ăn muối cá ươn nghĩa là gì nhỉ,B-XXX I-XXX I-XXX I-XXX I-XXX I-XXX O O O O
hãy giải thích câu cá không ăn muối cá ươn,O O O O B-XXX I-XXX I-XXX I-XXX I-XXX I-XXX
hãy giải thích cá không ăn muối cá ươn,O O O B-XXX I-XXX I-XXX I-XXX I-XXX I-XXX
giải thích cá không ăn muối cá ươn cho tôi,O O B-XXX I-XXX I-XXX I-XXX I-XXX I-XXX O O
câu cá không ăn muối cá ươn đúng là chí lý,O B-XXX I-XXX I-XXX I-XXX I-XXX I-XXX O O O O
tôi thấy bạn là người cá không ăn muối cá ươn thật đấy,O O O O O B-XXX I-XXX I-XXX I-XXX I-XXX I-XXX O O
bạn đúng là kiểu người cá không ăn muối cá ươn rồi,O O O O O B-XXX I-XXX I-XXX I-XXX I-XXX I-XXX O
chơi với bạn lâu mới thấy bạn rất cá không ăn muối cá ươn,O O O O O O O O B-XXX I-XXX I-XXX I-XXX I-XXX I-XXX
bạn cứ như người cá không ăn muối cá ươn trong truyền thuyết vậy,O O O O B-XXX I-XXX I-XXX I-XXX I-XXX I-XXX O O O O
mình cảm giác bạn đúng chất cá không ăn muối cá ươn luôn,O O O O O O B-XXX I-XXX I-XXX I-XXX I-XXX I-XXX O
càng tiếp xúc càng thấy bạn là người cá không ăn muối cá ươn,O O O O O O O O B-XXX I-XXX I-XXX I-XXX I-XXX I-XXX
nói thật tôi luôn nghĩ bạn thuộc kiểu người cá không ăn muối cá ươn,O O O O O O O O O B-XXX I-XXX I-XXX I-XXX I-XXX I-XXX
bạn làm tôi liên tưởng đến kiểu người cá không ăn muối cá ươn,O O O O O O O O B-XXX I-XXX I-XXX I-XXX I-XXX I-XXX
chẳng hiểu sao tôi cứ thấy bạn có chút gì đó cá không ăn muối cá ươn,O O O O O O O O O O O B-XXX I-XXX I-XXX I-XXX I-XXX I-XXX
bạn đúng là mẫu người cá không ăn muối cá ươn mà tôi thích,O O O O O B-XXX I-XXX I-XXX I-XXX I-XXX I-XXX O O O
có ai bảo bạn rất cá không ăn muối cá ươn chưa nhỉ,O O O O O B-XXX I-XXX I-XXX I-XXX I-XXX I-XXX O O
bạn thật sự toát lên vẻ cá không ăn muối cá ươn,O O O O O O B-XXX I-XXX I-XXX I-XXX I-XXX I-XXX
thật lòng đấy tôi thấy bạn đúng là người cá không ăn muối cá ươn,O O O O O O O O O B-XXX I-XXX I-XXX I-XXX I-XXX I-XXX
lần đầu gặp đã thấy bạn có nét cá không ăn muối cá ươn rồi,O O O O O O O O B-XXX I-XXX I-XXX I-XXX I-XXX I-XXX O
trong mắt tôi bạn luôn là kiểu người cá không ăn muối cá ươn đấy,O O O O O O O O B-XXX I-XXX I-XXX I-XXX I-XXX I-XXX O
tôi không hiểu câu mẹ tròn con vuông,O O O O B-XXX I-XXX I-XXX I-XXX
câu mẹ tròn con vuông nghĩa là gì,O B-XXX I-XXX I-XXX I-XXX O O O
bạn hiểu câu mẹ tròn con vuông không,O O O B-XXX I-XXX I-XXX I-XXX O
câu mẹ tròn con vuông khó hiểu quá,O B-XXX I-XXX I-XXX I-XXX O O O
mẹ tròn con vuông nghĩa là gì nhỉ,B-XXX I-XXX I-XXX I-XXX O O O O
hãy giải thích câu mẹ tròn con vuông,O O O O B-XXX I-XXX I-XXX I-XXX
hãy giải thích mẹ tròn con vuông,O O O B-XXX I-XXX I-XXX I-XXX
giải thích mẹ tròn con vuông cho tôi,O O B-XXX I-XXX I-XXX I-XXX O O
câu mẹ tròn con vuông đúng là chí lý,O B-XXX I-XXX I-XXX I-XXX O O O O
tôi thấy bạn là người mẹ tròn con vuông thật đấy,O O O O O B-XXX I-XXX I-XXX I-XXX O O
bạn đúng là kiểu người mẹ tròn con vuông rồi,O O O O O B-XXX I-XXX I-XXX I-XXX O
chơi với bạn lâu mới thấy bạn rất mẹ tròn con vuông,O O O O O O O O B-XXX I-XXX I-XXX I-XXX
bạn cứ như người mẹ tròn con vuông trong truyền thuyết vậy,O O O O B-XXX I-XXX I-XXX I-XXX O O O O
mình cảm giác bạn đúng chất mẹ tròn con vuông luôn,O O O O O O B-XXX I-XXX I-XXX I-XXX O
càng tiếp xúc càng thấy bạn là người mẹ tròn con vuông,O O O O O O O O B-XXX I-XXX I-XXX I-XXX
nói thật tôi luôn nghĩ bạn thuộc kiểu người mẹ tròn con vuông,O O O O O O O O O B-XXX I-XXX I-XXX I-XXX
bạn làm tôi liên tưởng đến kiểu người mẹ tròn con vuông,O O O O O O O O B-XXX I-XXX I-XXX I-XXX
chẳng hiểu sao tôi cứ thấy bạn có chút gì đó mẹ tròn con vuông,O O O O O O O O O O O B-XXX I-XXX I-XXX I-XXX
bạn đúng là mẫu người mẹ tròn con vuông mà tôi thích,O O O O O B-XXX I-XXX I-XXX I-XXX O O O
có ai bảo bạn rất mẹ tròn con vuông chưa nhỉ,O O O O O B-XXX I-XXX I-XXX I-XXX O O
bạn thật sự toát lên vẻ mẹ tròn con vuông,O O O O O O B-XXX I-XXX I-XXX I-XXX
thật lòng đấy tôi thấy bạn đúng là người mẹ tròn con vuông,O O O O O O O O O B-XXX I-XXX I-XXX I-XXX
lần đầu gặp đã thấy bạn có nét mẹ tròn con vuông rồi,O O O O O O O O B-XXX I-XXX I-XXX I-XXX O
trong mắt tôi bạn luôn là kiểu người mẹ tròn con vuông đấy,O O O O O O O O B-XXX I-XXX I-XXX I-XXX O
tôi không hiểu câu bánh chưng,O O O O B-XXX I-XXX
câu bánh chưng nghĩa là gì,O B-XXX I-XXX O O O
bạn hiểu câu bánh chưng không,O O O B-XXX I-XXX O
câu bánh chưng khó hiểu quá,O B-XXX I-XXX O O O
bánh chưng nghĩa là gì nhỉ,B-XXX I-XXX O O O O
hãy giải thích câu bánh chưng,O O O O B-XXX I-XXX
hãy giải thích bánh chưng,O O O B-XXX I-XXX
giải thích bánh chưng cho tôi,O O B-XXX I-XXX O O
câu bánh chưng đúng là chí lý,O B-XXX I-XXX O O O O
tôi thấy bạn là người bánh chưng thật đấy,O O O O O B-XXX I-XXX O O
bạn đúng là kiểu người bánh chưng rồi,O O O O O B-XXX I-XXX O
chơi với bạn lâu mới thấy bạn rất bánh chưng,O O O O O O O O B-XXX I-XXX
bạn cứ như người bánh chưng trong truyền thuyết vậy,O O O O B-XXX I-XXX O O O O
mình cảm giác bạn đúng chất bánh chưng luôn,O O O O O O B-XXX I-XXX O
càng tiếp xúc càng thấy bạn là người bánh chưng,O O O O O O O O B-XXX I-XXX
nói thật tôi luôn nghĩ bạn thuộc kiểu người bánh chưng,O O O O O O O O O B-XXX I-XXX
bạn làm tôi liên tưởng đến kiểu người bánh chưng,O O O O O O O O B-XXX I-XXX
chẳng hiểu sao tôi cứ thấy bạn có chút gì đó bánh chưng,O O O O O O O O O O O B-XXX I-XXX
bạn đúng là mẫu người bánh chưng mà tôi thích,O O O O O B-XXX I-XXX O O O
có ai bảo bạn rất bánh chưng chưa nhỉ,O O O O O B-XXX I-XXX O O
bạn thật sự toát lên vẻ bánh chưng,O O O O O O B-XXX I-XXX
thật lòng đấy tôi thấy bạn đúng là người bánh chưng,O O O O O O O O O B-XXX I-XXX
lần đầu gặp đã thấy bạn có nét bánh chưng rồi,O O O O O O O O B-XXX I-XXX O
trong mắt tôi bạn luôn là kiểu người bánh chưng đấy,O O O O O O O O B-XXX I-XXX O
tôi không hiểu câu bánh tét,O O O O B-XXX I-XXX
câu bánh tét nghĩa là gì,O B-XXX I-XXX O O O
bạn hiểu câu bánh tét không,O O O B-XXX I-XXX O
câu bánh tét khó hiểu quá,O B-XXX I-XXX O O O
bánh tét nghĩa là gì nhỉ,B-XXX I-XXX O O O O
hãy giải thích câu bánh tét,O O O O B-XXX I-XXX
hãy giải thích bánh tét,O O O B-XXX I-XXX
giải thích bánh tét cho tôi,O O B-XXX I-XXX O O
câu bánh tét đúng là chí lý,O B-XXX I-XXX O O O O
tôi thấy bạn là người bánh tét thật đấy,O O O O O B-XXX I-XXX O O
bạn đúng là kiểu người bánh tét rồi,O O O O O B-XXX I-XXX O
chơi với bạn lâu mới thấy bạn rất bánh tét,O O O O O O O O B-XXX I-XXX
bạn cứ như người bánh tét trong truyền thuyết vậy,O O O O B-XXX I-XXX O O O O
mình cảm giác bạn đúng chất bánh tét luôn,O O O O O O B-XXX I-XXX O
càng tiếp xúc càng thấy bạn là người bánh tét,O O O O O O O O B-XXX I-XXX
nói thật tôi luôn nghĩ bạn thuộc kiểu người bánh tét,O O O O O O O O O B-XXX I-XXX
bạn làm tôi liên tưởng đến kiểu người bánh tét,O O O O O O O O B-XXX I-XXX
chẳng hiểu sao tôi cứ thấy bạn có chút gì đó bánh tét,O O O O O O O O O O O B-XXX I-XXX
bạn đúng là mẫu người bánh tét mà tôi thích,O O O O O B-XXX I-XXX O O O
có ai bảo bạn rất bánh tét chưa nhỉ,O O O O O B-XXX I-XXX O O
bạn thật sự toát lên vẻ bánh tét,O O O O O O B-XXX I-XXX
thật lòng đấy tôi thấy bạn đúng là người bánh tét,O O O O O O O O O B-XXX I-XXX
lần đầu gặp đã thấy bạn có nét bánh tét rồi,O O O O O O O O B-XXX I-XXX O
trong mắt tôi bạn luôn là kiểu người bánh tét đấy,O O O O O O O O B-XXX I-XXX O
tôi không hiểu câu áo dài,O O O O B-XXX I-XXX
câu áo dài nghĩa là gì,O B-XXX I-XXX O O O
bạn hiểu câu áo dài không,O O O B-XXX I-XXX O
câu áo dài khó hiểu quá,O B-XXX I-XXX O O O
áo dài nghĩa là gì nhỉ,B-XXX I-XXX O O O O
hãy giải thích câu áo dài,O O O O B-XXX I-XXX
hãy giải thích áo dài,O O O B-XXX I-XXX
giải thích áo dài cho tôi,O O B-XXX I-XXX O O
câu áo dài đúng là chí lý,O B-XXX I-XXX O O O O
tôi thấy bạn là người áo dài thật đấy,O O O O O B-XXX I-XXX O O
bạn đúng là kiểu người áo dài rồi,O O O O O B-XXX I-XXX O
chơi với bạn lâu mới thấy bạn rất áo dài,O O O O O O O O B-XXX I-XXX
bạn cứ như người áo dài trong truyền thuyết vậy,O O O O B-XXX I-XXX O O O O
mình cảm giác bạn đúng chất áo dài luôn,O O O O O O B-XXX I-XXX O
càng tiếp xúc càng thấy bạn là người áo dài,O O O O O O O O B-XXX I-XXX
nói thật tôi luôn nghĩ bạn thuộc kiểu người áo dài,O O O O O O O O O B-XXX I-XXX
bạn làm tôi liên tưởng đến kiểu người áo dài,O O O O O O O O B-XXX I-XXX
chẳng hiểu sao tôi cứ thấy bạn có chút gì đó áo dài,O O O O O O O O O O O B-XXX I-XXX
bạn đúng là mẫu người áo dài mà tôi thích,O O O O O B-XXX I-XXX O O O
có ai bảo bạn rất áo dài chưa nhỉ,O O O O O B-XXX I-XXX O O
bạn thật sự toát lên vẻ áo dài,O O O O O O B-XXX I-XXX
thật lòng đấy tôi thấy bạn đúng là người áo dài,O O O O O O O O O B-XXX I-XXX
lần đầu gặp đã thấy bạn có nét áo dài rồi,O O O O O O O O B-XXX I-XXX O
trong mắt tôi bạn luôn là kiểu người áo dài đấy,O O O O O O O O B-XXX I-XXX O
tôi không hiểu câu nón lá,O O O O B-XXX I-XXX
câu nón lá nghĩa là gì,O B-XXX I-XXX O O O
bạn hiểu câu nón lá không,O O O B-XXX I-XXX O
câu nón lá khó hiểu quá,O B-XXX I-XXX O O O
nón lá nghĩa là gì nhỉ,B-XXX I-XXX O O O O
hãy giải thích câu nón lá,O O O O B-XXX I-XXX
hãy giải thích nón lá,O O O B-XXX I-XXX
giải thích nón lá cho tôi,O O B-XXX I-XXX O O
câu nón lá đúng là chí lý,O B-XXX I-XXX O O O O
tôi thấy bạn là người nón lá thật đấy,O O O O O B-XXX I-XXX O O
bạn đúng là kiểu người nón lá rồi,O O O O O B-XXX I-XXX O
chơi với bạn lâu mới thấy bạn rất nón lá,O O O O O O O O B-XXX I-XXX
bạn cứ như người nón lá trong truyền thuyết vậy,O O O O B-XXX I-XXX O O O O
mình cảm giác bạn đúng chất nón lá luôn,O O O O O O B-XXX I-XXX O
càng tiếp xúc càng thấy bạn là người nón lá,O O O O O O O O B-XXX I-XXX
nói thật tôi luôn nghĩ bạn thuộc kiểu người nón lá,O O O O O O O O O B-XXX I-XXX
bạn làm tôi liên tưởng đến kiểu người nón lá,O O O O O O O O B-XXX I-XXX
chẳng hiểu sao tôi cứ thấy bạn có chút gì đó nón lá,O O O O O O O O O O O B-XXX I-XXX
bạn đúng là mẫu người nón lá mà tôi thích,O O O O O B-XXX I-XXX O O O
có ai bảo bạn rất nón lá chưa nhỉ,O O O O O B-XXX I-XXX O O
bạn thật sự toát lên vẻ nón lá,O O O O O O B-XXX I-XXX
thật lòng đấy tôi thấy bạn đúng là người nón lá,O O O O O O O O O B-XXX I-XXX
lần đầu gặp đã thấy bạn có nét nón lá rồi,O O O O O O O O B-XXX I-XXX O
trong mắt tôi bạn luôn là kiểu người nón lá đấy,O O O O O O O O B-XXX I-XXX O
tôi không hiểu câu công cha như núi thái sơn,O O O O B-XXX I-XXX I-XXX I-XXX I-XXX I-XXX
câu công cha như núi thái sơn nghĩa là gì,O B-XXX I-XXX I-XXX I-XXX I-XXX I-XXX O O O
bạn hiểu câu công cha như núi thái sơn không,O O O B-XXX I-XXX I-XXX I-XXX I-XXX I-XXX O
câu công cha như núi thái sơn khó hiểu quá,O B-XXX I-XXX I-XXX I-XXX I-XXX I-XXX O O O
công cha như núi thái sơn nghĩa là gì nhỉ,B-XXX I-XXX I-XXX I-XXX I-XXX I-XXX O O O O
hãy giải thích câu công cha như núi thái sơn,O O O O B-XXX I-XXX I-XXX I-XXX I-XXX I-XXX
hãy giải thích công cha như núi thái sơn,O O O B-XXX I-XXX I-XXX I-XXX I-XXX I-XXX
giải thích công cha như núi thái sơn cho tôi,O O B-XXX I-XXX I-XXX I-XXX I-XXX I-XXX O O
câu công cha như núi thái sơn đúng là chí lý,O B-XXX I-XXX I-XXX I-XXX I-XXX I-XXX O O O O
tôi thấy bạn là người công cha như núi thái sơn thật đấy,O O O O O B-XXX I-XXX I-XXX I-XXX I-XXX I-XXX O O
bạn đúng là kiểu người công cha như núi thái sơn rồi,O O O O O B-XXX I-XXX I-XXX I-XXX I-XXX I-XXX O
chơi với bạn lâu mới thấy bạn rất công cha như núi thái sơn,O O O O O O O O B-XXX I-XXX I-XXX I-XXX I-XXX I-XXX
bạn cứ như người công cha như núi thái sơn trong truyền thuyết vậy,O O O O B-XXX I-XXX I-XXX I-XXX I-XXX I-XXX O O O O
mình cảm giác bạn đúng chất công cha như núi thái sơn luôn,O O O O O O B-XXX I-XXX I-XXX I-XXX I-XXX I-XXX O
càng tiếp xúc càng thấy bạn là người công cha như núi thái sơn,O O O O O O O O B-XXX I-XXX I-XXX I-XXX I-XXX I-XXX
nói thật tôi luôn nghĩ bạn thuộc kiểu người công cha như núi thái sơn,O O O O O O O O O B-XXX I-XXX I-XXX I-XXX I-XXX I-XXX
bạn làm tôi liên tưởng đến kiểu người công cha như núi thái sơn,O O O O O O O O B-XXX I-XXX I-XXX I-XXX I-XXX I-XXX
chẳng hiểu sao tôi cứ thấy bạn có chút gì đó công cha như núi thái sơn,O O O O O O O O O O O B-XXX I-XXX I-XXX I-XXX I-XXX I-XXX
bạn đúng là mẫu người công cha như núi thái sơn mà tôi thích,O O O O O B-XXX I-XXX I-XXX I-XXX I-XXX I-XXX O O O
có ai bảo bạn rất công cha như núi thái sơn chưa nhỉ,O O O O O B-XXX I-XXX I-XXX I-XXX I-XXX I-XXX O O
bạn thật sự toát lên vẻ công cha như núi thái sơn,O O O O O O B-XXX I-XXX I-XXX I-XXX I-XXX I-XXX
thật lòng đấy tôi thấy bạn đúng là người công cha như núi thái sơn,O O O O O O O O O B-XXX I-XXX I-XXX I-XXX I-XXX I-XXX
lần đầu gặp đã thấy bạn có nét công cha như núi thái sơn rồi,O O O O O O O O B-XXX I-XXX I-XXX I-XXX I-XXX I-XXX O
trong mắt tôi bạn luôn là kiểu người công cha như núi thái sơn đấy,O O O O O O O O B-XXX I-XXX I-XXX I-XXX I-XXX I-XXX O
tôi không hiểu câu gánh nặng ân tình,O O O O B-XXX I-XXX I-XXX I-XXX
câu gánh nặng ân tình nghĩa là gì,O B-XXX I-XXX I-XXX I-XXX O O O
bạn hiểu câu gánh nặng ân tình không,O O O B-XXX I-XXX I-XXX I-XXX O
câu gánh nặng ân tình khó hiểu quá,O B-XXX I-XXX I-XXX I-XXX O O O
gánh nặng ân tình nghĩa là gì nhỉ,B-XXX I-XXX I-XXX I-XXX O O O O
hãy giải thích câu gánh nặng ân tình,O O O O B-XXX I-XXX I-XXX I-XXX
hãy giải thích gánh nặng ân tình,O O O B-XXX I-XXX I-XXX I-XXX
giải thích gánh nặng ân tình cho tôi,O O B-XXX I-XXX I-XXX I-XXX O O
